Date,X,Y,Z,Equipo1,Equipo2
2010-01-31,71.46,542.5,2061.25,442.68,895.13
2010-02-28,77.59,565.0,2050.25,465.84,917.12
2010-03-31,82.7,645.0,2287.5,543.04,1009.15
2010-04-30,87.44,705.0,2183.5,566.26,1009.7
2010-05-31,74.65,645.0,1952.5,543.91,869.01
2010-06-30,75.01,635.0,1923.75,532.98,869.51
2010-07-31,78.18,625.0,2126.5,501.76,960.29
2010-08-31,74.64,622.5,2044.5,518.39,919.99
2010-09-30,82.31,635.0,2313.5,537.06,1036.67
2010-10-31,83.15,600.0,2301.0,488.41,968.19
2010-11-30,85.92,615.0,2244.75,515.98,970.1
2010-12-31,94.75,625.0,2458.5,521.13,1035.18
2011-01-31,101.01,705.0,2454.5,594.57,1057.67
2011-02-28,111.8,765.0,2531.25,618.58,1117.02
2011-03-31,117.36,717.5,2599.0,603.21,1152.37
2011-04-30,125.89,692.5,2740.25,567.82,1161.79
2011-05-31,116.73,712.5,2648.5,609.06,1175.34
2011-06-30,112.48,685.0,2508.5,563.04,1117.09
2011-07-31,116.74,695.0,2581.0,562.34,1107.86
2011-08-31,114.85,705.0,2402.25,574.4,1078.8
2011-09-30,102.76,692.5,2206.5,571.94,984.04
2011-10-31,109.56,615.0,2186.5,525.97,950.2
2011-11-30,110.52,607.5,1976.75,503.63,915.74
2011-12-31,107.38,610.0,1970.25,505.7,886.75
2012-01-31,110.98,625.0,2257.25,514.28,1026.43
2012-02-29,122.66,642.5,2301.25,546.78,1043.57
2012-03-31,122.88,647.5,2098.25,541.25,959.88
2012-04-30,119.47,645.0,2057.5,529.17,927.79
2012-05-31,101.87,615.0,1973.25,511.9,888.99
2012-06-30,97.8,595.0,1834.25,484.25,861.23
2012-07-31,104.92,560.0,1862.25,461.84,818.42
2012-08-31,114.57,515.0,1848.75,426.75,813.83
2012-09-30,112.39,517.5,2093.75,441.23,898.69
2012-10-31,108.7,532.5,1882.25,452.18,836.85
2012-11-30,111.23,542.5,2078.5,446.37,913.6
